UF,Município,ICM_Classification
SC,Palma Sola,C
SC,Rio das Antas,C
SC,Rio do Oeste,C
SC,Rio Negrinho,C
SC,Santo Amaro da Imperatriz,C
SC,São Joaquim,C
SC,São Lourenço do Oeste,C
SC,Seara,C
SC,Urussanga,C
RS,Camaquã,C
RS,Candelária,C
RS,Cruzeiro do Sul,C
RS,Eldorado do Sul,C
RS,Harmonia,C
RS,Jaguarão,C
RS,Jaguari,C
RS,Nova Petrópolis,C
RS,Parobé,C
RS,São Sepé,C
RS,Vera Cruz,C
MS,Coxim,C
MS,Naviraí,C
MS,Três Lagoas,C
MT,Confresa,C
GO,Goiânia,C
AC,Brasiléia,C
AC,Cruzeiro do Sul,C
AC,Jordão,C
AC,Xapuri,C
AM,Canutama,C
AM,Iranduba,C
AM,Jutaí,C
AM,Manicoré,C
AM,Maraã,C
AM,Nova Olinda do Norte,C
AM,Novo Aripuanã,C
AM,Urucurituba,C
RR,Caracaraí,C
RR,Uiramutã,C
PA,Acará,C
PA,Eldorado dos Carajás,C
PA,Itupiranga,C
PA,Jacareacanga,C
PA,Porto de Moz,C
PA,São Félix do Xingu,C
PA,São Miguel do Guamá,C
AP,Vitória do Jari,C
MA,Itapecuru Mirim,C
MA,Pindaré-Mirim,C
MA,Presidente Dutra,C
MA,Rosário,C
PI,Parnaíba,C
PI,Piripiri,C
CE,Acaraú,C
CE,Cruz,C
CE,Iguatu,C
CE,Itapajé,C
CE,Jaguaribe,C
CE,Jaguaruana,C
CE,Juazeiro do Norte,C
CE,Palmácia,C
CE,Santana do Acaraú,C
RN,Açu,C
PE,Belém de Maria,C
PE,Bonito,C
PE,Cachoeirinha,C
PE,Chã Grande,C
PE,Cupira,C
PE,Ribeirão,C
PE,Santa Maria da Boa Vista,C
PE,Tabira,C
PE,Vicência,C
AL,Coqueiro Seco,C
AL,Maravilha,C
SE,Canindé de São Francisco,C
BA,Itapebi,C
BA,São Félix,C
BA,Vitória da Conquista,C
MG,Alfenas,C
MG,Alvorada de Minas,C
MG,Bertópolis,C
MG,Boa Esperança,C
MG,Caeté,C
MG,Capelinha,C
MG,Coroaci,C
MG,Ervália,C
MG,Eugenópolis,C
MG,Itajubá,C
MG,Manhuaçu,C
MG,Manhumirim,C
MG,Mantena,C
MG,Matozinhos,C
MG,Miraí,C
MG,Pedras de Maria da Cruz,C
MG,Salinas,C
MG,Tumiritinga,C
MG,Unaí,C
MG,Várzea da Palma,C
ES,Bom Jesus do Norte,C
ES,Conceição da Barra,C
ES,Dores do Rio Preto,C
ES,Ecoporanga,C
ES,Marechal Floriano,C
RJ,Barra do Piraí,C
RJ,Casimiro de Abreu,C
RJ,Conceição de Macabu,C
RJ,Italva,C
RJ,Itaocara,C
RJ,Japeri,C
RJ,Nilópolis,C
RJ,Paty do Alferes,C
RJ,Rio Claro,C
SP,Araçariguama,C
SP,Arujá,C
SP,Avaré,C
SP,Carapicuíba,C
SP,Holambra,C
SP,Iguape,C
SP,Itupeva,C
SP,Limeira,C
SP,Pedro de Toledo,C
SP,Ribeira,C
SP,Socorro,C
SP,Tapiraí,C
SP,Ubatuba,C
SP,Votorantim,C
PR,Cambé,C
PR,Campina Grande do Sul,C
PR,Campo Largo,C
PR,Chopinzinho,C
PR,Ibiporã,C
PR,Mallet,C
PR,Quitandinha,C
PR,Santo Antônio do Sudoeste,C
PR,São José da Boa Vista,C
PR,São Pedro do Paraná,C
PR,Tuneiras do Oeste,C
SC,Apiúna,C
SC,Biguaçu,C
SC,Bom Retiro,C
SC,Campo Erê,C
SC,Canelinha,C
SC,Doutor Pedrinho,C
SC,Major Gercino,C
SC,Maracajá,C
SC,Navegantes,C
SC,Otacílio Costa,C
SC,Papanduva,C
SC,Rio dos Cedros,C
SC,São João Batista,C
SC,São José,C
SC,Saudades,C
SC,Siderópolis,C
SC,Timbé do Sul,C
SC,Timbó Grande,C
SC,Vargem,C
SC,Witmarsum,C
RS,Arroio do Meio,C
RS,Canela,C
RS,Erval Seco,C
RS,Lajeado,C
RS,Nova Palma,C
RS,Nova Santa Rita,C
RS,Paim Filho,C
RS,Porto Vera Cruz,C
RS,Rosário do Sul,C
RS,Santa Maria,C
RS,Santa Tereza,C
RS,Tapera,C
MS,Miranda,C
MT,Barra do Garças,C
GO,Goiás,C
AC,Santa Rosa do Purus,C
AM,Anori,C
AM,Borba,C
AM,Careiro da Várzea,C
AM,Coari,C
AM,Guajará,C
AM,Manaquiri,C
AM,Maués,C
AM,Santo Antônio do Içá,C
RR,Amajari,C
PA,Aveiro,C
PA,Monte Alegre,C
PA,Novo Progresso,C
PA,Rurópolis,C
PA,São Domingos do Capim,C
AP,Amapá,C
AP,Porto Grande,C
TO,Carmolândia,C
MA,Coelho Neto,C
MA,Miranda do Norte,C
MA,Pirapemas,C
MA,Santa Quitéria do Maranhão,C
MA,Trizidela do Vale,C
PI,Amarante,C
PI,Castelo do Piauí,C
PI,Palmeirais,C
PI,Picos,C
CE,Aracati,C
CE,Icó,C
CE,Irauçuba,C
CE,Milagres,C
CE,Porteiras,C
RN,Jardim de Piranhas,C
PB,Bayeux,C
PB,Ingá,C
PB,Sousa,C
PE,Belo Jardim,C
PE,Floresta,C
PE,Limoeiro,C
PE,Surubim,C
AL,Santana do Ipanema,C
AL,Satuba,C
SE,Tobias Barreto,C
BA,Antônio Gonçalves,C
BA,Camamu,C
BA,Conde,C
BA,Irecê,C
BA,Itajuípe,C
BA,Itamaraju,C
BA,Medeiros Neto,C
BA,Nova Viçosa,C
BA,Santa Maria da Vitória,C
BA,Santo Amaro,C
BA,Senhor do Bonfim,C
BA,Simões Filho,C
MG,Acaiaca,C
MG,Almenara,C
MG,Campo Belo,C
MG,Caraí,C
MG,Claro dos Poções,C
MG,Divino,C
MG,Dom Silvério,C
MG,Ewbank da Câmara,C
MG,Janaúba,C
MG,Januária,C
MG,Joanésia,C
MG,Lagoa Dourada,C
MG,Mateus Leme,C
MG,Matias Barbosa,C
MG,Orizânia,C
MG,Passos,C
MG,Pescador,C
MG,Piraúba,C
MG,Rio Casca,C
MG,São Pedro do Suaçuí,C
MG,Senhora de Oliveira,C
MG,Turmalina,C
ES,Divino de São Lourenço,C
ES,Ibatiba,C
ES,Irupi,C
RJ,Mendes,C
RJ,Miguel Pereira,C
RJ,Porciúncula,C
SP,Araçatuba,C
SP,Bananal,C
SP,Bertioga,C
SP,Divinolândia,C
SP,Guariba,C
SP,Itapevi,C
SP,Leme,C
SP,Marília,C
SP,Parapuã,C
SP,Piracaia,C
SP,Ribeirão Grande,C
SP,Rio Grande da Serra,C
SP,Salesópolis,C
SP,São Lourenço da Serra,C
SP,São Pedro,C
SP,Tambaú,C
PR,Ângulo,C
PR,Ivaté,C
PR,Maringá,C
PR,Piraí do Sul,C
PR,Santo Antônio da Platina,C
PR,Sulina,C
SC,Águas de Chapecó,C
SC,Bocaina do Sul,C
SC,Guabiruba,C
SC,Indaial,C
SC,Ipira,C
SC,Ipumirim,C
SC,Itapiranga,C
SC,Marema,C
SC,Massaranduba,C
SC,Palmitos,C
SC,Passo de Torres,C
SC,Petrolândia,C
SC,Presidente Nereu,C
SC,Rancho Queimado,C
SC,Rio do Campo,C
SC,Rio Fortuna,C
SC,Salete,C
SC,São Francisco do Sul,C
SC,Tangará,C
SC,Turvo,C
RS,Alegrete,C
RS,Alto Feliz,C
RS,Anta Gorda,C
RS,Cachoeirinha,C
RS,Campina das Missões,C
RS,Canguçu,C
RS,Capão do Leão,C
RS,Coronel Bicaco,C
RS,Entre-Ijuís,C
RS,Ibiaçá,C
RS,Ibirapuitã,C
RS,Itaqui,C
RS,Jaboticaba,C
RS,Lindolfo Collor,C
RS,Maquiné,C
RS,Pedro Osório,C
RS,Riozinho,C
RS,Roca Sales,C
RS,Santo Antônio da Patrulha,C
RS,São Leopoldo,C
RS,Viamão,C
MS,Bela Vista,C
MS,Coronel Sapucaia,C
MS,Ivinhema,C
MT,Comodoro,C
MT,Paranatinga,C
MT,Peixoto de Azevedo,C
MT,Sinop,C
GO,Alexânia,C
GO,Faina,C
GO,Itumbiara,C
GO,Luziânia,C
GO,Rio Verde,C
GO,Uruaçu,C
AM,Benjamin Constant,C
AM,Beruri,C
AM,Eirunepé,C
AM,Itacoatiara,C
AM,Itamarati,C
AM,Tapauá,C
PA,Altamira,C
PA,Capitão Poço,C
PA,Irituia,C
PA,Marituba,C
PA,Pacajá,C
PA,São Geraldo do Araguaia,C
PA,Vitória do Xingu,C
AP,Oiapoque,C
TO,Itacajá,C
TO,Miranorte,C
MA,Matões do Norte,C
MA,Nina Rodrigues,C
MA,Vargem Grande,C
PI,Murici dos Portelas,C
CE,Ipaporanga,C
CE,Itapipoca,C
CE,Jijoca de Jericoacoara,C
CE,Pentecoste,C
RN,Caraúbas,C
RN,Ielmo Marinho,C
RN,Lucrécia,C
RN,Monte Alegre,C
RN,Olho-dÁgua do Borges,C
RN,Tibau do Sul,C
PB,Conceição,C
PB,Mãe dÁgua,C
PB,São Mamede,C
PE,Altinho,C
PE,Nazaré da Mata,C
PE,Palmares,C
PE,Santa Cruz do Capibaribe,C
PE,Sertânia,C
PE,Venturosa,C
AL,Barra de Santo Antônio,C
AL,Estrela de Alagoas,C
AL,São Miguel dos Milagres,C
SE,Maruim,C
BA,Belmonte,C
BA,Caém,C
BA,Cícero Dantas,C
BA,Ipiaú,C
BA,Itororó,C
BA,Maragogipe,C
BA,Nazaré,C
BA,Ruy Barbosa,C
BA,Tapiramutá,C
BA,Teofilândia,C
MG,Alpinópolis,C
MG,Alto Caparaó,C
MG,Barbacena,C
MG,Canaã,C
MG,Capinópolis,C
MG,Carlos Chagas,C
MG,Chácara,C
MG,Chalé,C
MG,Diogo de Vasconcelos,C
MG,Dionísio,C
MG,Divinópolis,C
MG,Engenheiro Caldas,C
MG,Ibituruna,C
MG,Jampruca,C
MG,Josenópolis,C
MG,Lambari,C
MG,Maria da Fé,C
MG,Mato Verde,C
MG,Ponto dos Volantes,C
MG,Presidente Bernardes,C
MG,São Geraldo,C
MG,Silveirânia,C
MG,Taparuba,C
ES,Brejetuba,C
ES,Iúna,C
ES,Jaguaré,C
ES,Muniz Freire,C
ES,Vila Pavão,C
RJ,São Francisco de Itabapoana,C
SP,Águas da Prata,C
SP,Itapirapuã Paulista,C
SP,Itatinga,C
SP,Miracatu,C
SP,Pedreira,C
SP,Piedade,C
SP,Pratânia,C
SP,Quintana,C
SP,Silveiras,C
PR,Altamira do Paraná,C
PR,Borrazópolis,C
PR,Cambará,C
PR,Guaraci,C
PR,Jaguapitã,C
PR,Jaguariaíva,C
PR,Jataizinho,C
PR,Maria Helena,C
PR,Prudentópolis,C
SC,Anitápolis,C
SC,Aurora,C
SC,Braço do Trombudo,C
SC,Laguna,C
SC,Luiz Alves,C
SC,Meleiro,C
SC,Mirim Doce,C
SC,Monte Castelo,C
SC,Palmeira,C
SC,Pedras Grandes,C
SC,Rio Rufino,C
SC,Rodeio,C
SC,Sangão,C
SC,São Carlos,C
SC,São Ludgero,C
SC,Vidal Ramos,C
SC,Videira,C
RS,Aceguá,C
RS,Arroio Grande,C
RS,Canudos do Vale,C
RS,Capela de Santana,C
RS,Chapada,C
RS,Erebango,C
RS,Esperança do Sul,C
RS,Garruchos,C
RS,Liberato Salzano,C
RS,Manoel Viana,C
RS,Marques de Souza,C
RS,Muçum,C
RS,Muliterno,C
RS,Novo Barreiro,C
RS,Portão,C
RS,Porto Xavier,C
RS,Quaraí,C
RS,Redentora,C
RS,Sertão,C
MS,Bataguassu,C
MS,Deodápolis,C
MS,Taquarussu,C
GO,Lagoa Santa,C
AC,Marechal Thaumaturgo,C
AM,Carauari,C
AM,Careiro,C
AM,Ipixuna,C
PA,Breu Branco,C
PA,Nova Ipixuna,C
PA,São João do Araguaia,C
AP,Mazagão,C
TO,Guaraí,C
TO,Nova Olinda,C
TO,Pedro Afonso,C
MA,Arame,C
MA,Boa Vista do Gurupi,C
MA,Buriticupu,C
MA,Poção de Pedras,C
MA,São Bernardo,C
MA,São João do Soter,C
PI,José de Freitas,C
PI,Piracuruca,C
CE,Altaneira,C
CE,Deputado Irapuan Pinheiro,C
CE,Eusébio,C
CE,Ipaumirim,C
CE,Pacajus,C
CE,Quixadá,C
CE,Russas,C
CE,Tamboril,C
CE,Uruoca,C
RN,Água Nova,C
RN,Campo Redondo,C
RN,Grossos,C
RN,Guamaré,C
RN,Jardim do Seridó,C
RN,Parelhas,C
PB,Araruna,C
PB,Bernardino Batista,C
PB,Pirpirituba,C
PB,Uiraúna,C
PB,Várzea,C
PE,Águas Belas,C
PE,Cabrobó,C
PE,Cedro,C
PE,Lagoa do Carro,C
PE,São José do Belmonte,C
AL,Capela,C
AL,Igaci,C
AL,Major Isidoro,C
AL,Mata Grande,C
AL,Minador do Negrão,C
SE,Boquim,C
SE,Carira,C
SE,Umbaúba,C
BA,Adustina,C
BA,Canápolis,C
BA,Ibicaraí,C
BA,Itaquara,C
BA,Jitaúna,C
BA,Macaúbas,C
BA,Mata de São João,C
BA,Mulungu do Morro,C
BA,Palmeiras,C
BA,Pintadas,C
BA,Riachão das Neves,C
BA,Teolândia,C
BA,Una,C
MG,Alfredo Vasconcelos,C
MG,Campanha,C
MG,Campestre,C
MG,Campo Florido,C
MG,Capitólio,C
MG,Casa Grande,C
MG,Divino das Laranjeiras,C
MG,Fama,C
MG,Francisco Sá,C
MG,Franciscópolis,C
MG,Igaratinga,C
MG,Indaiabira,C
MG,Itinga,C
MG,Jaboticatubas,C
MG,Ladainha,C
MG,Lajinha,C
MG,Montalvânia,C
MG,Monte Azul,C
MG,Ninheira,C
MG,Pedra Dourada,C
MG,Perdizes,C
MG,Pirajuba,C
MG,São Domingos do Prata,C
MG,São João do Manteninha,C
MG,São João do Paraíso,C
MG,São Roque de Minas,C
MG,São Sebastião da Vargem Alegre,C
MG,Senador Cortes,C
MG,Tocantins,C
ES,Água Doce do Norte,C
ES,São José do Calçado,C
ES,São Roque do Canaã,C
SP,Alambari,C
SP,Alto Alegre,C
SP,Arealva,C
SP,Bálsamo,C
SP,Itaoca,C
SP,Lindóia,C
SP,Macaubal,C
SP,Pedranópolis,C
SP,Rancharia,C
SP,Rosana,C
SP,Santa Isabel,C
SP,Vargem,C
PR,Abatiá,C
PR,Alto Piquiri,C
PR,Barracão,C
PR,Bituruna,C
PR,Boa Vista da Aparecida,C
PR,Engenheiro Beltrão,C
PR,Itaperuçu,C
PR,Ivaí,C
PR,Juranda,C
SC,Abdon Batista,C
SC,Arabutã,C
SC,Caçador,C
SC,Governador Celso Ramos,C
SC,Lacerdópolis,C
SC,Ponte Alta,C
SC,Santa Cecília,C
SC,Santa Terezinha,C
SC,Santa Terezinha do Progresso,C
SC,São José do Cerrito,C
SC,São Martinho,C
SC,Serra Alta,C
RS,André da Rocha,C
RS,Barracão,C
RS,Caçapava do Sul,C
RS,Coqueiros do Sul,C
RS,Cruz Alta,C
RS,Faxinal do Soturno,C
RS,Fontoura Xavier,C
RS,Forquetinha,C
RS,Osório,C
RS,Passa Sete,C
RS,Pinhal da Serra,C
RS,Ronda Alta,C
RS,Sananduva,C
RS,Santo Antônio do Planalto,C
RS,São Borja,C
MS,Água Clara,C
MS,Bodoquena,C
MS,Dois Irmãos do Buriti,C
MS,Eldorado,C
MS,Jaraguari,C
MS,Jateí,C
MS,Rio Brilhante,C
MT,Nova Mutum,C
MT,Nova Xavantina,C
GO,Caçu,C
GO,Itapaci,C
GO,Trindade,C
RO,Cerejeiras,C
RO,Machadinho DOeste,C
RO,São Felipe DOeste,C
AC,Plácido de Castro,C
PA,Cumaru do Norte,C
PA,Vigia,C
TO,Almas,C
TO,Maurilândia do Tocantins,C
MA,Governador Eugênio Barros,C
MA,Penalva,C
MA,Sítio Novo,C
PI,Anísio de Abreu,C
PI,Antônio Almeida,C
PI,Arraial,C
PI,Avelino Lopes,C
PI,Belém do Piauí,C
PI,Campinas do Piauí,C
PI,Caridade do Piauí,C
PI,Francisco Santos,C
PI,Itaueira,C
PI,Jaicós,C
PI,Juazeiro do Piauí,C
PI,Paquetá,C
PI,Patos do Piauí,C
PI,São Lourenço do Piauí,C
PI,Vera Mendes,C
CE,Acarape,C
CE,Aiuaba,C
CE,Alcântaras,C
CE,Baixio,C
CE,Brejo Santo,C
CE,Catunda,C
CE,Cedro,C
CE,Chorozinho,C
CE,Itaiçaba,C
CE,Massapê,C
CE,Nova Olinda,C
CE,Nova Russas,C
CE,Trairi,C
RN,Arês,C
RN,Brejinho,C
RN,Caiçara do Norte,C
RN,Equador,C
RN,José da Penha,C
RN,Jundiá,C
RN,Lajes Pintadas,C
RN,Major Sales,C
RN,Martins,C
RN,Monte das Gameleiras,C
RN,Pedro Avelino,C
RN,Santa Cruz,C
RN,Serra de São Bento,C
RN,Serra Negra do Norte,C
RN,Severiano Melo,C
RN,Umarizal,C
PB,Alagoa Grande,C
PB,Aparecida,C
PB,Brejo dos Santos,C
PB,Carrapateira,C
PB,Coremas,C
PB,Cuité,C
PB,Lagoa,C
PB,Olivedos,C
PB,Ouro Velho,C
PB,Poço Dantas,C
PB,Princesa Isabel,C
PB,Riacho de Santo Antônio,C
PE,Bodocó,C
PE,Capoeiras,C
PE,Casinhas,C
PE,Dormentes,C
PE,Passira,C
PE,Serrita,C
PE,Terezinha,C
AL,Belo Monte,C
AL,Branquinha,C
AL,Campo Grande,C
AL,Craíbas,C
AL,Piranhas,C
AL,Tanque dArca,C
SE,Capela,C
SE,Graccho Cardoso,C
SE,Japaratuba,C
SE,Moita Bonita,C
SE,Porto da Folha,C
SE,São Miguel do Aleixo,C
SE,Telha,C
BA,Boa Vista do Tupim,C
BA,Brotas de Macaúbas,C
BA,Cairu,C
BA,Campo Alegre de Lourdes,C
BA,Candeal,C
BA,Candiba,C
BA,Castro Alves,C
BA,Cordeiros,C
BA,Glória,C
BA,Ibicoara,C
BA,Ibipitanga,C
BA,Ibitiara,C
BA,Itanhém,C
BA,Itatim,C
BA,Itiruçu,C
BA,Jacaraci,C
BA,Jeremoabo,C
BA,Jussari,C
BA,Lajedo do Tabocal,C
BA,Oliveira dos Brejinhos,C
BA,Quixabeira,C
BA,Rio do Pires,C
BA,São Domingos,C
BA,Sátiro Dias,C
BA,Sebastião Laranjeiras,C
BA,Urandi,C
MG,Aricanduva,C
MG,Augusto de Lima,C
MG,Braúnas,C
MG,Cachoeira de Minas,C
MG,Cambuquira,C
MG,Catuti,C
MG,Claraval,C
MG,Conceição da Aparecida,C
MG,Consolação,C
MG,Córrego Novo,C
MG,Dores do Turvo,C
MG,Grão Mogol,C
MG,Guaraciama,C
MG,Itacambira,C
MG,Itamarati de Minas,C
MG,Japonvar,C
MG,Laranjal,C
MG,Lassance,C
MG,Martinho Campos,C
MG,Montezuma,C
MG,Novorizonte,C
MG,Oliveira Fortes,C
MG,Passabém,C
MG,Piranguçu,C
MG,Piumhi,C
MG,Pompéu,C
MG,Porteirinha,C
MG,Riacho dos Machados,C
MG,Santana de Cataguases,C
MG,São Bento Abade,C
MG,São Félix de Minas,C
MG,São Gonçalo do Pará,C
MG,São João da Lagoa,C
MG,São José da Lapa,C
MG,São Pedro da União,C
MG,São Vicente de Minas,C
MG,Serranópolis de Minas,C
MG,Silvianópolis,C
MG,Tupaciguara,C
SP,Adolfo,C
SP,Álvares Machado,C
SP,Américo de Campos,C
SP,Bady Bassitt,C
SP,Barra do Turvo,C
SP,Bilac,C
SP,Boracéia,C
SP,Braúna,C
SP,Clementina,C
SP,Dumont,C
SP,Ferraz de Vasconcelos,C
SP,Iacri,C
SP,Inúbia Paulista,C
SP,Ipaussu,C
SP,Ipiguá,C
SP,Jambeiro,C
SP,Lutécia,C
SP,Macedônia,C
SP,Mirante do Paranapanema,C
SP,Mirassolândia,C
SP,Nova Aliança,C
SP,Orlândia,C
SP,Ouro Verde,C
SP,Panorama,C
SP,Piacatu,C
SP,Populina,C
SP,Ribeirão do Sul,C
SP,Santo Antônio de Posse,C
SP,São Joaquim da Barra,C
SP,São Simão,C
SP,Serra Azul,C
SP,Taciba,C
SP,Taguaí,C
SP,Tarabai,C
PR,Andirá,C
PR,Araruna,C
PR,Balsa Nova,C
PR,Cruzeiro do Sul,C
PR,Flórida,C
PR,Guamiranga,C
PR,Icaraíma,C
PR,Itambé,C
PR,Lupionópolis,C
PR,Ouro Verde do Oeste,C
PR,Paiçandu,C
PR,Pato Bragado,C
PR,Presidente Castelo Branco,C
PR,Quatiguá,C
PR,Quatro Pontes,C
SC,Balneário Arroio do Silva,C
SC,Ibiam,C
SC,Jupiá,C
SC,Nova Erechim,C
SC,Novo Horizonte,C
SC,Pescaria Brava,C
SC,São Miguel da Boa Vista,C
RS,Alto Alegre,C
RS,Ernestina,C
RS,Faxinalzinho,C
RS,Gaurama,C
RS,Jari,C
RS,Lagoa Bonita do Sul,C
RS,Lagoa dos Três Cantos,C
RS,Maçambará,C
RS,Mariano Moro,C
RS,Mormaço,C
RS,Paraí,C
RS,Paraíso do Sul,C
RS,Passo do Sobrado,C
RS,Progresso,C
RS,Salvador do Sul,C
RS,Santa Maria do Herval,C
RS,Santa Margarida do Sul,C
RS,Santo Augusto,C
RS,São José do Herval,C
RS,São Pedro do Sul,C
RS,Sete de Setembro,C
RS,Severiano de Almeida,C
RS,Taquaruçu do Sul,C
RS,Três Arroios,C
RS,Unistalda,C
RS,Vanini,C
RS,Vila Nova do Sul,C
MS,Brasilândia,C
MT,Araguaiana,C
MT,Campinápolis,C
MT,Dom Aquino,C
MT,Marcelândia,C
MT,Nobres,C
MT,Novo Horizonte do Norte,C
MT,Pontes e Lacerda,C
MT,Santa Terezinha,C
MT,Tapurah,C
GO,Crixás,C
GO,Goianésia,C
GO,Planaltina,C
GO,São João dAliança,C
AC,Capixaba,C
RR,Iracema,C
RR,São Luiz,C
PA,Abel Figueiredo,C
PA,Magalhães Barata,C
PA,Nova Timboteua,C
PA,São Sebastião da Boa Vista,C
AP,Itaubal,C
TO,Babaçulândia,C
TO,Divinópolis do Tocantins,C
TO,Filadélfia,C
TO,Goianorte,C
TO,Pau DArco,C
TO,Piraquê,C
TO,Rio Sono,C
TO,Taipas do Tocantins,C
MA,Araguanã,C
MA,Campestre do Maranhão,C
MA,Gonçalves Dias,C
MA,Itinga do Maranhão,C
MA,Lajeado Novo,C
MA,Nova Olinda do Maranhão,C
MA,Paulo Ramos,C
MA,Riachão,C
MA,São João dos Patos,C
PI,Bertolínia,C
PI,Buriti dos Montes,C
PI,Caldeirão Grande do Piauí,C
PI,Canavieira,C
PI,Canto do Buriti,C
PI,Cristalândia do Piauí,C
PI,Dirceu Arcoverde,C
PI,Guadalupe,C
PI,Lagoa do Piauí,C
PI,Padre Marcos,C
PI,Santana do Piauí,C
PI,São José do Piauí,C
PI,São Julião,C
PI,Simões,C
PI,Simplício Mendes,C
PI,Socorro do Piauí,C
CE,Acopiara,C
CE,Antonina do Norte,C
CE,Ararendá,C
CE,Banabuiú,C
CE,Campos Sales,C
CE,Caririaçu,C
CE,Catarina,C
CE,Farias Brito,C
CE,Granjeiro,C
CE,Guaramiranga,C
CE,Martinópole,C
CE,Monsenhor Tabosa,C
CE,Ocara,C
CE,Santa Quitéria,C
RN,Baraúna,C
RN,Bom Jesus,C
RN,Doutor Severiano,C
RN,Florânia,C
RN,Lajes,C
RN,Maxaranguape,C
RN,Ouro Branco,C
RN,Portalegre,C
RN,Riacho da Cruz,C
RN,Santo Antônio,C
RN,São João do Sabugi,C
RN,Timbaúba dos Batistas,C
PB,Alcantil,C
PB,Aroeiras,C
PB,Bom Sucesso,C
PB,Cacimba de Dentro,C
PB,Camalaú,C
PB,Damião,C
PB,Gurinhém,C
PB,Jacaraú,C
PB,Matinhas,C
PB,Montadas,C
PB,Monte Horebe,C
PB,Pedra Lavrada,C
PB,Pedras de Fogo,C
PB,São Francisco,C
PB,São João do Tigre,C
PB,Sertãozinho,C
PB,Tacima,C
PE,Aliança,C
PE,Caetés,C
PE,Calumbi,C
PE,Lagoa do Ouro,C
PE,Machados,C
PE,Manari,C
PE,Saloá,C
PE,Santa Cruz da Baixa Verde,C
PE,Tuparetama,C
AL,Belém,C
AL,Roteiro,C
SE,Aquidabã,C
SE,Campo do Brito,C
SE,Nossa Senhora das Dores,C
SE,Pacatuba,C
SE,Pirambu,C
SE,Ribeirópolis,C
BA,Água Fria,C
BA,Aracatu,C
BA,Barra do Choça,C
BA,Barro Alto,C
BA,Boninal,C
BA,Boquira,C
BA,Caetanos,C
BA,Caldeirão Grande,C
BA,Cândido Sales,C
BA,Canudos,C
BA,Cocos,C
BA,Conceição do Jacuípe,C
BA,Contendas do Sincorá,C
BA,Cristópolis,C
BA,Curaçá,C
BA,Esplanada,C
BA,Ibirataia,C
BA,Ibititá,C
BA,Irajuba,C
BA,Jaguaripe,C
BA,Lagoa Real,C
BA,Licínio de Almeida,C
BA,Maiquinique,C
BA,Mortugaba,C
BA,Novo Horizonte,C
BA,Ponto Novo,C
BA,Quijingue,C
BA,Rodelas,C
BA,Salinas da Margarida,C
BA,Santa Brígida,C
BA,Santaluz,C
BA,São Felipe,C
BA,São José do Jacuípe,C
BA,Seabra,C
BA,Serrolândia,C
BA,Tanque Novo,C
MG,Água Comprida,C
MG,Angelândia,C
MG,Aracitaba,C
MG,Bandeira,C
MG,Berilo,C
MG,Biquinhas,C
MG,Bocaina de Minas,C
MG,Caetanópolis,C
MG,Canápolis,C
MG,Capetinga,C
MG,Carmo do Paranaíba,C
MG,Carneirinho,C
MG,Cedro do Abaeté,C
MG,Central de Minas,C
MG,Coração de Jesus,C
MG,Cordisburgo,C
MG,Cordislândia,C
MG,Coromandel,C
MG,Coronel Murta,C
MG,Córrego Danta,C
MG,Córrego do Bom Jesus,C
MG,Dom Viçoso,C
MG,Estrela Dalva,C
MG,Francisco Badaró,C
MG,Heliodora,C
MG,Ibertioga,C
MG,Ibiá,C
MG,Itaverava,C
MG,Iturama,C
MG,Jequeri,C
MG,Jordânia,C
MG,Leopoldina,C
MG,Lontra,C
MG,Luz,C
MG,Maravilhas,C
MG,Marilac,C
MG,Mata Verde,C
MG,Monjolos,C
MG,Monte Alegre de Minas,C
MG,Morada Nova de Minas,C
MG,Morro da Garça,C
MG,Olaria,C
MG,Prata,C
MG,Ressaquinha,C
MG,Rio Paranaíba,C
MG,Ritápolis,C
MG,Salto da Divisa,C
MG,Santa Bárbara do Monte Verde,C
MG,Santa Fé de Minas,C
MG,Santana do Deserto,C
MG,Santa Rita de Jacutinga,C
MG,Santo Antônio do Aventureiro,C
MG,Santo Antônio do Retiro,C
MG,São Domingos das Dores,C
MG,São João das Missões,C
MG,São José do Divino,C
MG,São Tiago,C
MG,São Tomé das Letras,C
MG,Sem-Peixe,C
MG,Serra do Salitre,C
MG,Tapira,C
MG,Uruana de Minas,C
MG,Vargem Bonita,C
MG,Varzelândia,C
MG,Volta Grande,C
MG,Wenceslau Braz,C
SP,Águas de Santa Bárbara,C
SP,Álvares Florence,C
SP,Buri,C
SP,Cajobi,C
SP,Cosmorama,C
SP,Cruzália,C
SP,Dois Córregos,C
SP,Dourado,C
SP,Euclides da Cunha Paulista,C
SP,Floreal,C
SP,Flórida Paulista,C
SP,Guaimbê,C
SP,Guarani dOeste,C
SP,Guzolândia,C
SP,Herculândia,C
SP,Iaras,C
SP,Ibaté,C
SP,Itirapuã,C
SP,Jardinópolis,C
SP,Jeriquara,C
SP,Lavínia,C
SP,Marabá Paulista,C
SP,Monte Aprazível,C
SP,Nova Guataporanga,C
SP,Ouroeste,C
SP,Palmital,C
SP,Paulo de Faria,C
SP,Pindorama,C
SP,Piquerobi,C
SP,Pirapora do Bom Jesus,C
SP,Pirapozinho,C
SP,Rincão,C
SP,Sales,C
SP,Saltinho,C
