UF,Município,ICM_Classification
RS,Palmares do Sul,A
RS,Presidente Lucena,A
RS,Quatro Irmãos,A
RS,Santa Cecília do Sul,A
MS,Paranaíba,A
MT,Barra do Bugres,A
GO,Alto Horizonte,A
GO,Itapirapuã,A
RO,Vilhena,A
AC,Porto Walter,A
TO,Combinado,A
MA,Humberto de Campos,A
PI,Capitão de Campos,A
CE,Alto Santo,A
CE,Horizonte,A
CE,Jati,A
CE,Umirim,A
PB,Desterro,A
PE,Vertente do Lério,A
AL,Campo Alegre,A
AL,Delmiro Gouveia,A
BA,Canarana,A
BA,Macururé,A
BA,Novo Triunfo,A
BA,São Desidério,A
BA,Saubara,A
MG,Cássia,A
MG,Coronel Xavier Chaves,A
MG,Delfinópolis,A
MG,Delta,A
MG,Frei Lagonegro,A
MG,Itaipé,A
MG,Medina,A
MG,Paraopeba,A
MG,Rodeiro,A
MG,Tabuleiro,A
SP,Andradina,A
SP,Bom Jesus dos Perdões,A
SP,Cândido Mota,A
SP,Cesário Lange,A
SP,Elias Fausto,A
SP,Espírito Santo do Turvo,A
SP,Fartura,A
SP,Ibitinga,A
SP,Ibiúna,A
SP,Itajobi,A
SP,Paranapanema,A
SP,Paulicéia,A
SP,Penápolis,A
SP,Potim,A
SP,Presidente Venceslau,A
SP,Salto Grande,A
SP,Santa Cruz da Esperança,A
SP,Santa Rosa de Viterbo,A
SP,Serra Negra,A
SP,Tapiratiba,A
SP,Teodoro Sampaio,A
SP,Vista Alegre do Alto,A
PR,Agudos do Sul,A
PR,Ampére,A
PR,Astorga,A
PR,Bela Vista da Caroba,A
PR,Califórnia,A
PR,Cornélio Procópio,A
PR,Cruzeiro do Iguaçu,A
PR,Iguaraçu,A
PR,Jesuítas,A
PR,Lunardelli,A
PR,Matelândia,A
PR,Nova Aurora,A
PR,Nova Tebas,A
PR,Palmeira,A
PR,Pérola dOeste,A
PR,Reserva do Iguaçu,A
PR,Rio Bom,A
PR,Saudade do Iguaçu,A
SC,Bandeirante,A
SC,Bom Jesus,A
SC,Paraíso,A
SC,Riqueza,A
RS,Arroio do Tigre,A
RS,Barão,A
RS,Cacequi,A
RS,Casca,A
RS,Lajeado do Bugre,A
RS,São Pedro da Serra,A
RS,Sede Nova,A
RS,Três Passos,A
MS,Camapuã,A
MS,Figueirão,A
MS,Iguatemi,A
MS,Paraíso das Águas,A
MS,Sete Quedas,A
MT,Jauru,A
MT,Porto Esperidião,A
GO,Morrinhos,A
PA,Afuá,A
CE,Fortim,A
CE,Mulungu,A
RN,Carnaúba dos Dantas,A
RN,Passa e Fica,A
PB,Santa Helena,A
PE,Brejão,A
SE,Pedra Mole,A
BA,Itarantim,A
BA,Livramento de Nossa Senhora,A
BA,Nova Redenção,A
BA,Pedro Alexandre,A
BA,Sento Sé,A
MG,Arantina,A
MG,Belmiro Braga,A
MG,Capitão Andrade,A
MG,Carmópolis de Minas,A
MG,Cuparaque,A
MG,Desterro de Entre Rios,A
MG,Dom Joaquim,A
MG,Gouveia,A
MG,Guanhães,A
MG,Imbé de Minas,A
MG,João Pinheiro,A
MG,Pedralva,A
MG,Piranguinho,A
MG,São Geraldo da Piedade,A
MG,São José do Jacuri,A
SP,Bocaina,A
SP,Cosmópolis,A
SP,Itapuí,A
SP,Jarinu,A
SP,Monte Alegre do Sul,A
SP,Pirangi,A
SP,Santa Lúcia,A
SP,Santa Rita do Passa Quatro,A
SP,Tarumã,A
PR,Cafelândia,A
PR,Campina da Lagoa,A
PR,Conselheiro Mairinck,A
PR,Nova Santa Bárbara,A
PR,Paraíso do Norte,A
PR,Piên,A
PR,São Jorge do Patrocínio,A
PR,Sertanópolis,A
PR,Turvo,A
PR,Verê,A
PR,Alto Paraíso,A
SC,Painel,A
RS,Colorado,A
RS,Putinga,A
RS,São Martinho,A
RS,São Paulo das Missões,A
RS,Tavares,A
RS,Triunfo,A
RS,Tupanci do Sul,A
MT,Guarantã do Norte,A
GO,Cristalina,A
GO,Pires do Rio,A
GO,Santo Antônio do Descoberto,A
PA,Santarém,B
PB,Campina Grande,B
AL,São Sebastião,B
SE,Aracaju,B
MG,Belo Horizonte,B
ES,São Gabriel da Palha,B
ES,Viana,B
SP,Águas de Lindóia,B
PR,União da Vitória,B
SC,Florianópolis,B
SC,Lages,B
RS,Uruguaiana,B
DF,Brasília,B
RO,Porto Velho,B
RN,Natal,B
RN,Santa Maria,B
PE,Ipojuca,B
PE,Lajedo,B
PE,Recife,B
PE,Rio Formoso,B
AL,Maceió,B
BA,Jacobina,B
MG,Além Paraíba,B
MG,Barão de Cocais,B
MG,Caratinga,B
MG,Cataguases,B
MG,Conceição do Mato Dentro,B
MG,Lavras,B
MG,Ouro Preto,B
MG,Pirapora,B
MG,Pouso Alegre,B
MG,Três Corações,B
MG,Visconde do Rio Branco,B
ES,Santa Leopoldina,B
ES,Vila Velha,B
RJ,Barra Mansa,B
RJ,Bom Jesus do Itabapoana,B
RJ,Cantagalo,B
RJ,Duque de Caxias,B
RJ,Guapimirim,B
RJ,Itaboraí,B
RJ,Rio de Janeiro,B
RJ,São Gonçalo,B
RJ,Tanguá,B
RJ,Teresópolis,B
RJ,Três Rios,B
SP,Campo Limpo Paulista,B
SP,Campos do Jordão,B
SP,Guararema,B
SP,Itaquaquecetuba,B
SP,Mogi das Cruzes,B
SP,Registro,B
SP,Santos,B
PR,Francisco Beltrão,B
PR,Morretes,B
PR,São José dos Pinhais,B
SC,Botuverá,B
SC,Canoinhas,B
SC,Corupá,B
SC,Presidente Getúlio,B
RS,Esteio,B
MS,Anastácio,B
MS,Corumbá,B
RO,Ariquemes,B
AC,Feijó,B
AM,Presidente Figueiredo,B
RR,Boa Vista,B
PA,Oriximiná,B
PA,Paragominas,B
AP,Macapá,B
MA,São José de Ribamar,B
CE,Maranguape,B
RN,Parnamirim,B
PE,Abreu e Lima,B
PE,Barreiros,B
PE,Bezerros,B
PE,Cabo de Santo Agostinho,B
PE,Jaqueira,B
PE,Paulista,B
PE,São Lourenço da Mata,B
AL,União dos Palmares,B
BA,Entre Rios,B
BA,Jucuruçu,B
MG,Coronel Fabriciano,B
MG,Ipatinga,B
MG,Jeceaba,B
MG,Mariana,B
MG,Pedro Leopoldo,B
MG,Ponte Nova,B
MG,Resplendor,B
MG,Sabará,B
MG,Timóteo,B
MG,Uberlândia,B
ES,Itapemirim,B
ES,Pancas,B
ES,Vargem Alta,B
RJ,Parati,B
RJ,Resende,B
RJ,Santo Antônio de Pádua,B
RJ,Volta Redonda,B
SP,Araraquara,B
SP,Bebedouro,B
SP,Cunha,B
SP,Diadema,B
SP,Francisco Morato,B
SP,Guarujá,B
SP,Itatiba,B
SP,Lins,B
SP,Lorena,B
SP,Piracicaba,B
SP,Ribeirão Pires,B
SP,São Carlos,B
SP,São José dos Campos,B
SP,São Vicente,B
SP,Sete Barras,B
SP,Sorocaba,B
SP,Várzea Paulista,B
PR,Almirante Tamandaré,B
PR,Araucária,B
PR,Pinhais,B
SC,Braço do Norte,B
SC,Criciúma,B
SC,Gaspar,B
SC,Irineópolis,B
SC,Jaguaruna,B
SC,Nova Trento,B
SC,Rio do Sul,B
SC,São Bento do Sul,B
RS,Cristal,B
RS,Estrela,B
RS,Feliz,B
MS,Ponta Porã,B
AM,Lábrea,B
AM,Uarini,B
MA,Conceição do Lago-Açu,B
MA,São Luís,B
CE,Crato,B
RN,Mossoró,B
PB,Cabedelo,B
PB,João Pessoa,B
PE,Catende,B
PE,Escada,B
PE,Moreno,B
PE,Sirinhaém,B
PE,Tamandaré,B
AL,Cajueiro,B
MG,Aimorés,B
MG,Belo Oriente,B
MG,Congonhas,B
MG,Conselheiro Lafaiete,B
MG,Guidoval,B
MG,Malacacheta,B
MG,Nova Lima,B
MG,Raposos,B
MG,Ribeirão das Neves,B
MG,Rio Piracicaba,B
MG,Sarzedo,B
MG,Teófilo Otoni,B
ES,Afonso Cláudio,B
ES,Baixo Guandu,B
ES,Colatina,B
ES,Nova Venécia,B
ES,São Mateus,B
RJ,Bom Jardim,B
RJ,Cardoso Moreira,B
RJ,Laje do Muriaé,B
RJ,Mesquita,B
RJ,Paracambi,B
RJ,Santa Maria Madalena,B
RJ,Sumidouro,B
SP,Barretos,B
SP,Bragança Paulista,B
SP,Eldorado,B
SP,Espírito Santo do Pinhal,B
SP,Hortolândia,B
SP,Itanhaém,B
SP,Itapecerica da Serra,B
SP,Mauá,B
SP,Osasco,B
SP,Praia Grande,B
SP,Rafard,B
SP,Rio Claro,B
SP,Santana de Parnaíba,B
SP,São Bento do Sapucaí,B
SP,Sumaré,B
SP,Taboão da Serra,B
SP,Tremembé,B
PR,Campo Magro,B
PR,Capitão Leônidas Marques,B
PR,Dois Vizinhos,B
SC,Abelardo Luz,B
SC,Concórdia,B
SC,Mafra,B
SC,Pomerode,B
RS,Bento Gonçalves,B
RS,Encantado,B
RS,Erechim,B
RS,Novo Hamburgo,B
RS,Porto Alegre,B
RS,Porto Mauá,B
RS,Santa Rosa,B
RS,Sapucaia do Sul,B
RS,Três Coroas,B
MT,São Félix do Araguaia,B
AC,Epitaciolândia,B
AM,São Gabriel da Cachoeira,B
PA,Itaituba,B
MA,Açailândia,B
MA,Monção,B
CE,Lavras da Mangabeira,B
PB,Santa Rita,B
PE,Agrestina,B
PE,Água Preta,B
PE,Amaraji,B
PE,Olinda,B
PE,Trindade,B
AL,Santa Luzia do Norte,B
AL,São Miguel dos Campos,B
SE,São Cristóvão,B
BA,Camaçari,B
BA,Itabuna,B
BA,Lajedinho,B
MG,Betim,B
MG,Carmo do Rio Claro,B
MG,Itabira,B
MG,Novo Cruzeiro,B
MG,Padre Paraíso,B
MG,São João del Rei,B
MG,Serro,B
ES,Aracruz,B
ES,Cachoeiro de Itapemirim,B
ES,Itaguaçu,B
ES,Mimoso do Sul,B
ES,Rio Novo do Sul,B
ES,Serra,B
RJ,Campos dos Goytacazes,B
RJ,Itaguaí,B
RJ,Magé,B
RJ,Queimados,B
RJ,Silva Jardim,B
RJ,Varre-Sai,B
SP,Apiaí,B
SP,Atibaia,B
SP,Cajati,B
SP,Guaratinguetá,B
SP,Jacareí,B
SP,Lençóis Paulista,B
SP,Monte Mor,B
SP,Pariquera-Açu,B
SP,Peruíbe,B
SP,Porto Ferreira,B
SP,São Sebastião,B
SP,Suzano,B
PR,Foz do Iguaçu,B
PR,Sengés,B
PR,Umuarama,B
SC,Camboriú,B
SC,Dona Emma,B
SC,Faxinal dos Guedes,B
SC,Fraiburgo,B
SC,Guaraciaba,B
SC,Ibirama,B
SC,Ilhota,B
SC,Jaraguá do Sul,B
